Location Name,Latitude,Longitude,Description,Story,Founded,Community Type
Fort la Reine,49.9625° N,98.3106° W,"Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner, who operated 250 Red River carts.",Tanner’s Cart Train: A story about Peichito Tanner’s massive freighting operation moving goods across the plains.,#N/A,Fort / Trading Post
Fort la Reine (Portage la Prairie),49.9625° N,98.3106° W,"Established near a buffalo crossing and sturgeon fishery. Home of Chief Peichito Tanner, who operated 250 Red River carts.",Tanner’s Cart Train: A story about Peichito Tanner’s massive freighting operation moving goods across the plains.,1738,Fort / Trading Post
Fort Langley,49.1678° N,122.5808° W,Listed in the Virtual Museum as a significant Métis location.,"Coast to Coast: A narrative linking the plains Métis with their kin at Fort Langley, highlighting the vast reach of the family networks.",Historic,Fort / Trading Post
Fort Montagne à la Bosse,49.8167° N,100.8667° W,Built on the Upper Assiniboine near buffalo wintering grounds. Buffalo could be seen grazing from the fort gate at almost any season.,"Harmon’s Enchanted Abode: A narrative about the ""enchanted abode"" described by Harmon where buffalo are always in view from the gate.",1790,Fort / Trading Post
Fort Mr. Grant,49.3333° N,100.9833° W,Built by Cuthbert Grant after the HBC closed Brandon House. Used to trade with Métis and Indians from Turtle Mountain to Qu’Appelle.,"Warden of the Plains: A standoff story set in 1824, where Cuthbert Grant uses his authority to protect his trade from American encroachment.",1824,Fort / Trading Post
Fort Pelly,51.7833° N,101.9833° W,Headquarters for the Swan River District before being replaced by Fort Ellice.,"District Hub: A story follows a trader moving between Pelly and the surrounding outposts, documenting the logistical challenges of the Swan River trade.",1824,Fort / Trading Post
Fort Pinancewaywining,49.2000° N,98.0167° W,Located south-west of Morden; first post supplied by Red River Carts from Pembina. Built by Alexander Henry the Younger.,"First Cart from Pembina: A story about the very first cart caravan to arrive, marking the birth of overland transportation in the region.",1802,Fort / Trading Post
Fort Rouge,49.8858° N,97.1325° W,Located at the south point of the Forks; originally river lots owned by Métis families. Residents were displaced by suburban expansion.,The Lost River Lots: A historical mystery exploring how the original Métis owners of Fort Rouge were systematically displaced by land speculators.,1738,Fort / Trading Post
Fort Souris,49.6667° N,99.5833° W,Built on the Souris River for Mandan trade. Abandoned when HBC built Brandon House but later re-established.,The Mandan Trade: A story about the competitive race in 1793 to reach the lucrative Mandan trade before the HBC.,1793,Fort / Trading Post
Fort St. Charles,49.3608° N,95.0442° W,Built by La Vérendrye in the early 1730s; ruins discovered in 1902. Contained remains of La Vérendrye's son.,Discovery of the Ruins: A historical account following the 1902 discovery of the fort and the return of remains to St. Boniface.,Early 1730s,Fort / Trading Post
Fouillard Town (The Corner / Li Kwayn),50.4689° N,101.2989° W,"A road allowance community near Binscarth established by refugees from Ste. Madeleine. After their homes in Ste. Madeleine were burned in 1939 to make way for a community pasture, residents resettled on a former gravel pit that had once been part of the Gambler Reserve. The community was sarcastically named Selby Town after a municipal official responsible for their displacement. In 1946, the Fouillard Special School was built to replace the mission school they lost.","Salvaged Timber: A story of profound spiritual and physical resilience. As the families of Ste. Madeleine watch their village burn, they decide to save what they can. The plot follows a group of men as they physically dismantle logs from their original church to drag them to ""The Corner"" to rebuild the St. Hubert Church, ensuring that their faith and community identity survive the displacement.",1939,Road Allowance Community
Four Persons,49.9167° N,110.8333° W,"A community mentioned in the Virtual Museum as associated with Choteau, Montana.","Montana Refuge: A story explores the lives of the ""landless"" Métis in communities like Four Persons after the migrations from Red River.",Late 1800s,Settlement
Frog Plain (La Grenouillère),49.9400° N,97.1000° W,Traditional meeting place north of Seven Oaks. Site of annual rendezvous where partners met brigades bringing pemmican.,"The Annual Rendezvous: A story of the grand gathering at Frog Plain, capturing the music, dance, and commerce of voyageur brigades.",Early 1800s,Meeting Site / Rendezvous
Gabriel's Crossing,52.6667° N,106.1000° W,A historic ferry crossing on the South Saskatchewan River operated by Gabriel Dumont.,"The Ferryman of the South: A narrative centered on Gabriel Dumont, depicting his role as a community leader and the logistics of operating the crossing.",1870s,Settlement / Transportation site
Grand Marais,50.4850° N,96.6347° W,Community on the east shore of Lake Winnipeg that maintained exclusive Métis identity until the mid-1950s. Overwhelmed by the tourist industry.,Memories of the Fiddle: A nostalgic story told by an Elder about the final years of the community's exclusive identity before the resort arrived.,Early 1800s,Settlement
Grand Rapids (Red River and Saskatchewan River),53.1864° N,99.2667° W,"The Red River community was formed after 1823 north of Winnipeg on high ground. In 1840, it was 39% Métis fathers and 97% Aboriginal mothers. The Saskatchewan River site was a fur trade gateway at the river's mouth at Lake Winnipeg. It was a base for ""free traders"" and a gathering place for seasonal sturgeon fishing. In the 1960s, the provincial government bulldozed Métis homes to clear the area for a hydro project, forcing residents to accept minimal compensation.","Bulldozers at Dawn: A poignant narrative following a Métis family at the mouth of the Saskatchewan River. They are among the families whose homes were designated for destruction by the Grand Rapids Hydro Project. The story details the pressure they felt to sign away their land for ""minimum sums"" and the tragic day they watched their ancestral homes being leveled to make way for the dam.",1823 (Red River) / 1864 (HBC Sask River),Settlement / Fort
Grande Pointe,49.7439° N,97.0272° W,Métis settlement dating back to the 1860s along the Seine River. Residents found employment building the Pembina Branch Railway in the 1870s.,The Railroad Laborers: A story about the Métis of Grande Pointe who built the very railroad that would eventually transform their community.,1860s,Settlement
Grantown (St. François Xavier),49.9197° N,97.5511° W,Established by Cuthbert Grant in 1823 as a buffer for the Red River Settlement. First industrial site in Manitoba for cart construction.,The Cart Builders: An epic narrative about the assembly of a 900-person cart brigade at Grantown for the massive annual hunt on the plains.,#N/A,Parish / Settlement
Grassy Narrows House,50.1667° N,94.6667° W,HBC outpost on Lake Winnipeg staffed by Métis families like the Whiteways and Spences. Located on the west bank of the Hecla channel.,Winter at Grassy Narrows: A story set at the isolated outpost follows a Métis clerk managing the post during a harsh Lake Winnipeg winter.,Pre-1875,Trading Post (Outpost)
Green Lake (Lac Vert),54.1167° N,107.6333° W,Listed as a significant Métis community in Saskatchewan.,"The Northern Trade: A story about the canoe routes through Green Lake, depicting the life of the northern voyageurs.",Historic,Settlement / Trading Post
Hair Hills or Pembina Mountains,49.1167° N,98.3667° W,Named for buffalo wool rubbed off on trees. Strategic wintering spot for hunters and site of early trading outposts.,The Wintering Band: A story set in the 1840s focusing on the life of a buffalo-hunting band surviving the cold in the shelter of the hills.,Historic,Geographic Landmark
Havre,48.5500° N,109.6841° W,Mentioned in Virtual Museum as a community where Métis took scrip in Montana.,Across the 49th: A narrative exploring the cross-border migrations and scrip applications of the Havre Métis.,Late 1800s,Settlement
Heart Butte,48.2911° N,112.8361° W,A Métis community in North Dakota mentioned in the Virtual Museum.,Prairie Kinship: A story about the cultural and family ties between Heart Butte and the Canadian Red River Métis.,Historic,Settlement
Îlets de Bois,49.4994° N,98.0017° W,"Primary stopping point for buffalo hunters to repair carts. Famous for spring ""sugar lots"" where families tapped maple trees.",The Sugar Moon: A seasonal story of the trek from Grantown to the maple groves where families find their kettles hidden exactly where they left them.,#N/A,Settlement / Sugar Bush Site
Îlets de Bois (now Carman),49.4994° N,98.0017° W,"Primary stopping point for buffalo hunters to repair carts. Famous for spring ""sugar lots"" where families tapped maple trees.",The Sugar Moon: A seasonal story of the trek from Grantown to the maple groves where families find their kettles hidden exactly where they left them.,1825,#N/A
Island Cache,54.0000° N,113.0000° W,Listed in the Virtual Museum as a Métis community in British Columbia.,"Mountain Crossing: A story follows a Métis family moving through the western passes to settle at Island Cache, linking the plains and the coast.",Historic,Settlement
Jack River Post,53.9833° N,97.8167° W,HBC post south of Norway House; relocation site for Selkirk Settlers in 1815. Replaced by modern Norway House site in 1827.,"Desperate Haven: A story of the 1815 evacuation of the colony to Jack River, highlighting the survival skills of Métis guides.",1796,Trading Post
Kansas Half Breed Tracts,39.2000° N,95.2000° W,Lands set aside for Métis people in the United States.,The US Reserve: A legal drama explores the struggle of families to hold onto land in the Kansas tracts during American westward expansion.,1825,Reserved Lands / Settlement
Kelly Lake,55.2333° N,120.0167° W,A Métis community in British Columbia mentioned in the Virtual Museum.,High Altitude Kinship: A story detailing the unique mountain lifestyle and enduring cultural traditions of the Kelly Lake Métis.,Historic,Settlement
Kettle Stones,51.5833° N,101.1833° W,Sandstone concretions in the Swan-Pelican forest. Traditional harvesting area for families of Pine Creek and Duck Bay.,"The Stone Medicine: A spiritual narrative exploring traditional significance and ""medicine stories"" associated with the Kettle Stones.",Ancient,Geographic Landmark
Kinosota,51.1558° N,98.9281° W,Established at the narrows of Lake Manitoba. Relocated in 1828 to oppose independent hunters. Treaty Two signed here in 1871.,"The Narrows Treaty: A historical drama focused on the signing of Treaty Two, depicting varying expectations of Métis and government.",#N/A,Settlement / Trading Post
La Chevulure Montagne Post (Hair Hills Post),48.9667° N,98.1167° W,Outpost established by Alexander Henry the Younger in the early 1800s to serve hunters of the Pembina hills.,The Hill Trade: A narrative follows a trader managing the frantic trade during a peak buffalo season in the hills.,Early 1800s,Trading Outpost
Laboucane (Duhamel),52.8833° N,112.9667° W,A significant Métis settlement in Alberta mentioned in the Virtual Museum.,Relocation to Duhamel: A story detailing the migration of the Laboucane family from Red River to build a new agricultural community in the west.,1870s,Settlement
Lac des Chênes (Flat Creek),49.9833° N,98.7167° W,"A traditional Métis wintering site that became a permanent settlement by the late 1860s, also known as Oak Lake.",Wintering at the Lake: A winter narrative focusing on the transition from temporary buffalo camp to permanent settlement at Oak Lake.,Late 1860s,Settlement / Wintering site
Lac Ste. Anne,53.7125° N,114.4022° W,A vital historic Métis mission and gathering place in Alberta.,Pilgrimage to the Lake: A story explores the spiritual traditions and annual summer gatherings at Lac Ste. Anne.,1844,Mission / Settlement
Lake Metigoshe Métis Settlement,49.0039° N,100.3553° W,Ancient camping place on Turtle Mountain that became a wintering site for hunters from Grantown. First settlers included Louis Lee Racine.,Cross-Border Winter: A story about families whose lives spanned the international boundary before it was strictly enforced.,Late 1800s,Settlement / Wintering site
Lake Pepin,44.5000° N,92.3000° W,A Métis tract mentioned in the Virtual Museum associated with early US land grants.,Mississippi Kin: A story follows families moving along the Mississippi trade routes between Red River and Lake Pepin.,1830,Reserved Lands / Settlement
Lane's Post,49.9547° N,97.7475° W,Managed by William Lane; primarily for farming. Lane was involved in a 1864 plot to capture Dakota leaders using drugged wine.,The Drugged Wine Plot: A suspenseful historical piece about the 1864 trap set at the post to capture leaders Little Six and Medicine Bottle.,#N/A,Trading Post / Farm
Lane’s Post (St. François Xavier),49.9547° N,97.7475° W,"Established in the 1850s at Pigeon Lake on the Assiniboine River, this post first appears in HBC records in 1856. It was managed by William Lane and was primarily used for its farming operations. The post was located about five miles past the St. François Xavier church. In 1864, it was the site where a plot was hatched to capture Dakota refugee leaders Little Six and Medicine Bottle. They were reportedly lured into a trap and drugged with wine before being bound and transported to Fort Pembina.","The Drugged Wine Plot: A suspenseful historical thriller set in January 1864. The story follows William Lane and John McKenzie as they coordinate a clandestine operation to capture the Dakota leaders. The narrative explores the ethics of the betrayal as they use the sanctuary of the post to offer drugged wine to the refugees, leading to their capture and delivery to American authorities at the border.",1856,Trading Post / Farm Depot
Last Mountain Lake,50.8167° N,105.1500° W,Listed as a significant site in the Virtual Museum.,The High Ground Hunt: A narrative following a hunt brigade as they camp at Last Mountain Lake during a summer buffalo run.,Historic,Seasonal Camp / Hunt site
Lido Plage,49.9658° N,97.6833° W,"Recreation area on the Assiniboine that hosted the annual ""Old Timers & Pioneers Picnic"". Featured jigging and fiddling contests.","The Old Timers Picnic: A vibrant story set during a 1940s picnic, capturing the music and dance of a major Métis cultural celebration.",1931 (Resort),Gathering / Recreation Site
Little Britain,50.1000° N,96.9500° W,Early name for Lockport; settled by retiring Orkneymen and families. Known for its landmark Presbyterian church built by master stonemasons.,The Master Masons: A historical piece about stonemasons as they construct the Little Britain church using local limestone.,1826,Settlement
Little Chicago (Chicago Line),48.9333° N,100.0167° W,Pejorative term for road allowance communities where Métis were displaced.,Life on the Line: A story about the struggle for basic services in a community designated with a pejorative name by the nearby township.,Early 1900s,Road Allowance Community
Little Grand Rapids House,52.0461° N,95.4608° W,HBC post at Family Lake named for rapids on Berens River. Supplies were delivered by York boat until 1871.,"The Last York Boat: A story about the final boat trip to the post in 1871, marking the end of a legendary era of transportation.",1848,Trading Post
Little Saskatchewan River,51.7000° N,98.5833° W,"Originates in Riding Mountain; called ""Rivière Rapide"" by David Thompson. Its valley was a key wintering area for bison.",Rapide Waters: A narrative centered on the ancient buffalo migration routes through the river valley as seen by a Métis hunting party.,Ancient,Geographic Landmark
Longbody Creek (Kenepikiniwewe),51.7661° N,96.6469° W,Established in 1988 for Métis displaced from Bloodvein Reserve. The community dispersed within five years as many returned to the reserve.,The Short-Lived Home: A modern story about the intense sense of community at Longbody Creek and the eventual return of its residents.,1988,Road Allowance Community
Loon Straits,51.5833° N,96.6000° W,Fishing and trapping community on eastern shore of Lake Winnipeg. Residents renowned for building seaworthy oak and cedar boats.,The Master Boatbuilder: A story of a craftsman at Loon Straits whose custom-built boat survives a legendary storm that sinks larger vessels.,Historic,Settlement
Lorette (Petit Point du Chênes),49.7478° N,96.9114° W,Settled in 1850s by families from central parishes. A community of freighters and buffalo hunters whose cattle grazed along the Seine.,Grazing the Seine: A story of founding families searching for new grazing lands and the eventual renaming of the parish by Bishop Tache.,#N/A,Parish / Settlement
Lorette (Petit Point des Chênes),49.7478° N,96.9114° W,Settled in 1850s by families from central parishes. A community of freighters and buffalo hunters whose cattle grazed along the Seine.,Grazing the Seine: A story of founding families searching for new grazing lands and the eventual renaming of the parish by Bishop Tache.,1850s,Parish / Settlement
MacGregor,49.9575° N,98.7661° W,Road allowance community west of Portage la Prairie. Residents displaced by the rail line and later lobbied for housing land in 1961.,Lobbying for Land: A story about the leadership of Alfred Roulette in 1961 as he lobbies the municipality for housing for the landless Métis.,1870s (Documented),Road Allowance Community
Mallard (Enniship),51.6833° N,99.4667° W,Associated with Skownan Band; named for a nearby lake. Settlers moved here in 1895 for wild game and Seneca root.,"The Enniship Settlers: A pioneer story about families who moved to Mallard in 1895, drawn by traditional harvesting opportunities.",1895,Settlement
Manigotagan (Bad Throat River),51.1064° N,96.3114° W,Named for the sound of a waterfall like a bad sound in the throat. Surveyed into 18 river lots in 1904 for Métis laborers.,"Sound of the Throat: A narrative exploring the legend of the eerie sound at Wood Falls, set against the 1904 river lot survey.",1904 (Survey),Settlement
Manitoba House (Kinosota),51.1558° N,98.9281° W,See entry for Kinosota.,Post at the Narrows: A historical story about daily operations seen through the eyes of its Métis staff.,Mid-1790s,Settlement / Trading Post
Mapleton,50.1500° N,96.8667° W,"Also called ""Old England,"" home to fur traders and Chief Peguis’ people. Along the Red River north of Lower Fort Garry.",Old England on the Red: A story about the cultural blend of Orkney-descended families and Saulteaux people in the district.,1790 (Peguis arrival),Settlement
Matheson Island (formerly Snake Island),51.7333° N,96.9333° W,"Stopping place for York boats renamed in 1903 after Daniel Matheson. Residents descend from Norwegian, English, and Icelandic settlers.","The Island Keeper: A story centered on Daniel Matheson, the first lighthouse keeper, watching lake traffic from his island home.",1867 (Post),Settlement / Stopping Point
Meadow Portage,51.6333° N,99.5833° W,Located on a narrow strip between Lake Manitoba and Lake Winnipegosis. Fur trade hub and later ranching community.,The Plain Portage: A story about the strategic route used for centuries to move between the great lakes of Manitoba.,Early 1900s (Ranching),Settlement / Stopping Point
Metikewap (Wooden/Bark Tent),50.5983° N,96.3117° W,Road allowance settlement east of The Pas named for bark-covered teepees. Disappeared due to flooding from Grand Rapids dam.,The Bark Tents: A story about the final season at Metikewap as residents prepare to leave before the rising water arrives.,Historic,Road Allowance Community
Métis Island,50.4167° N,98.0167° W,Site of a settlement north of Ross Island at Cross Lake before relocation to Nelson River.,Moving the Camp: A narrative about relocation from the island to the permanent settlement on the riverbank.,Historic,Settlement
Michipicoten Post,47.9333° N,84.9000° W,Significant HBC post on Lake Superior mentioned in Virtual Museum.,Superior Trade: A story detailing the importance of Michipicoten as a transshipment point for Red River goods moving toward the east.,Historic,Fort / Trading Post
Milk River,49.1417° N,112.0750° W,Site of Métis deportation from Montana mentioned in Virtual Museum.,Expulsion from the Plains: A story follows a family during the 1882 expulsion from Montana back across the border into Canada.,Late 1800s,Historic Site
Minnedosa,50.2464° N,99.8453° W,"Founded by John Tanner, a Civil War veteran, who built a ferry and store here. Formerly Tanner's Crossing.",The Crossing Ferry: A historical piece following John Tanner’s journey from the U.S. Civil War to establish a ferry hub.,1869,Settlement / Transportation Hub
Moose Lake (Settlement),54.0167° N,100.3500° W,Community southeast of The Pas whose traditional livelihood was devastated by dam flooding. Recorded 282 Métis in 1958.,The Flooded Delta: A narrative focused on the Summerberry Marsh trappers dealing with the loss of their traditional lands.,Historic,Settlement
Netley Creek (Rivière aux Morts),50.3667° N,96.9333° W,Site of native horticulture in 1805 where corn and potatoes were grown. HBC established a post here in 1813 with sixty horses.,The Netley Gardens: A story set in 1805 depicting thriving gardens and traders arriving to buy produce.,1803 (Post),Trading Post / Agricultural site
Norway House and Rossville,53.9753° N,97.8083° W,Transshipment hub where Chief Factors met in council. World-renowned center for building York boats.,"Council of Factors: A story about the grand meetings at Norway House, depicting its role as the fur trade capital.",1817,Fort / Settlement / Depot
Oak Lake (Lac des Chênes / Métis Wintering Sites),49.7694° N,100.6339° W,Watering stop west of Brandon; became a permanent settlement by late 1860s. Staffed by 50-100 Métis men.,Wintering at the Lake: A winter narrative focusing on the 1860s transition from seasonal camp to established settlement.,Late 1860s,Settlement / Wintering site
Oak Point House and Oak Point,50.5053° N,98.0056° W,"HBC trading post and wintering place for cattle where Métis took land grants. Associated with the ""Oak Point Nation"".",The Oak Point Nation: A story about the signing of Treaty One and the pressure put on the local band to relocate.,1860s (Post),Trading Post / Wintering site
Opaskweyaw (The Pas),53.8247° N,101.2417° W,"Rendezvous point for Cree and Métis hunters. Site of Devon Mission, established by Rev. Henry Budd in 1840.","Devon Mission: A biographical story about Rev. Henry Budd, exploring his leadership in building the local mission.",1741 (Fort); 1840 (Mission),Settlement / Rendezvous Site
Oxford House,54.9167° N,95.2833° W,Established on the Hayes River route Midway between York Factory and Norway House. William Sinclair raised 12 children there.,"The Sinclair Family: A family saga following the Sinclairs, depicting life on the northern trade route.",1798,Fort / Trading Post
Park Valley,53.5167° N,106.6667° W,Significant community area mentioned in Virtual Museum.,Valley Life: A narrative detailing the seasonal patterns of harvesting and kinship in Park Valley during the settlement era.,Historic,Settlement Hub
Pembina,48.9667° N,97.2442° W,Named for buffalo wool rubbed off on trees. Strategic wintering spot for hunters and site of early trading outposts.,The Wintering Band: A story set in the 1840s focusing on the life of a buffalo-hunting band surviving the cold in the shelter of the hills.,1797 (HBC Post),Settlement / Trading Post
Petit Point de Roches,49.9167° N,97.0500° W,Red River community north of Ste. Agathe inhabited by buffalo hunters and freighters.,Freighters on the Red: A story about the freighting life following a cart train stopping at the river lots.,Mid-1800s,Settlement (River Lot)
Petit Point du Chênes (Lorette),49.7478° N,96.9114° W,See entry for Lorette.,Graze and Freight: A story follows founding families as they graze cattle along the Seine and operate freighting brigades.,1850s,Parish / Settlement
Pikwitonei,55.5892° N,97.1481° W,Railway division point where Métis engaged in track maintenance and sturgeon fishery. Division point until 1972.,"End of the Steel: A story about Luke Clemons, a Métis man managing transportation at the terminus using a gas car.",1914,Settlement (Railway)
Pine Bluff,53.7167° N,101.4167° W,Self-sufficient settlement southeast of The Pas established as early as 1874. Entirely flooded by the Grand Rapids Dam.,The Vanishing Home: A legal drama about families losing their homes to a dam while being told they have no legal right to compensation for unsurveyed land.,1874,Settlement
Pine Dock (Bullhead),51.6500° N,96.8833° W,Community on Lake Winnipeg historically known as Bullhead.,The Bullhead Fishery: A story follows Jesse Matheson operating a stopping place for lake travelers during the York boat era.,Historic,Settlement
Pine Fort,49.6167° N,99.2333° W,Lowest post on Assiniboine; chief trade hub for Mandan Indians. Abandoned in 1794.,Trade with the Mandans: A story detailing a 1790 horse-back mission from Pine Fort to Mandan villages across the plains.,1768 (Fort des Épinettes),Fort / Trading Post
Pointe à Grouette,49.5606° N,97.1264° W,Settlement of hunters and salt makers where most were disenfranchised after 1870. Known as Petite Pointe à Saline.,Disenfranchised Lands: A drama about a family in 1870 losing their land due to mismanagement of the scrip system.,#N/A,Settlement
"Pointe à Grouette (Petite Pointe à Saline, St. Agathe)",49.5606° N,97.1264° W,Settlement of hunters and salt makers where most were disenfranchised after 1870. Known as Petite Pointe à Saline.,Disenfranchised Lands: A drama about a family in 1870 losing their land due to mismanagement of the scrip system.,Mid-1800s,Settlement / Parish
Pointe Coupée (St. Adolphe),49.6764° N,97.1136° W,Red River parish founded by Métis in early 1800s. Site of 1869 Resistance action against surveyors.,The St. Adolphe Resistance: An action story about the day Métis pulled out John Snow’s survey stakes to protect their property.,Early 1800s,Parish / Settlement
"Pointe des Chênes (Grande Pointe des Chênes, Ste. Anne de Chênes)",49.6633° N,96.5986° W,Woodcutting center where residents were primary laborers for Dawson Road. Enraged by John Snow ignoring boundaries.,The Road Builders: A story about Métis laborers building the Dawson Road while their own land rights are ignored by surveyors.,1850s,Settlement
Pointe du Chien-Maigre,49.6000° N,97.1167° W,A historic Métis name for Carlton House mentioned in the Virtual Museum.,"Post on the Plain: A narrative detailing life at the Carlton House post under its traditional name, focusing on the buffalo trade.",Historic,Historic Site / Fort
Poitras House,49.6333° N,97.2333° W,HBC post near Brandon named for the Métis trader in charge.,Trader Poitras: A narrative following the trader managing complex relations on the frontier Assiniboine.,1807,Trading Post
Poplar Point,50.0006° N,98.0017° W,Settlement featuring a log church with a bell from York Factory. Church completed in 1864.,The Church Bell’s Journey: A narrative about Poplar Point settlers building their church and installing its famous historic bell.,1850s,Parish / Settlement
Portage La Loche,56.5667° N,109.5833° W,Significant brigade hub mentioned in the Virtual Museum.,"The Long Portage: A story follows the Portage La Loche brigade, capturing the extreme physical labor and camaraderie of the northern boatmen.",Historic,Transportation Hub
Prairie à Fournier,49.5500° N,97.1333° W,Mission site east of St. Eustache on land gifted by Governor Simpson. Nolin sisters opened a school here in 1834.,School on the Prairie: A story follows the Nolin sisters establishing a four-language school at the mission for local children.,1834,Mission / Settlement site
Rabbit Point (Princess Harbour),51.9833° N,97.0500° W,Small peninsula on Lake Winnipeg near Bloodvein Bay. Positioned 304 air km north of Winnipeg.,Princess of the Harbour: A story of the community's unique identity and life as a remote northern fishing settlement.,Historic,Settlement
Rall’s (Rahls) Island (Settlement),53.8333° N,101.1833° W,Road allowance community downstream from The Pas. Founded by Charles Rall and Elizabeth Knight.,Charles Rall’s Home: A narrative follows a prospector who decides to build a homestead for his family in the northern delta.,1915,Road Allowance Community
Rat Portage,49.7667° N,94.4833° W,Disputed area between Manitoba and Ontario (today's Kenora).,Boundary Wars: A political drama about the confusion when the town was incorporated by both provinces simultaneously in 1882.,1882 (Incorporation),Settlement
Rat River (Rivière aux Rats),49.4667° N,97.1333° W,Wintering site with plentiful hay and wood. Surrounds the present community of St. Pierre Jolys.,Rat River Winterers: A narrative about the 1825 petition of the local Métis for permanent land title near the salt works.,1822-1825,Settlement / Wintering site
Red Deer Lake,52.9167° N,101.3167° W,This cluster of five Métis communities is located on the edge of the Porcupine Forest near the former Fort Red Deer River trading post. Barrows served as a major lumber town for the Red Deer Lumber Company until the sawmill closed around 1927. Baden was the largest of these communities in 1959 with 130 residents.,The Last Sawmill: A historical story set in the late 1920s detailing the sudden collapse of the local lumber industry. A family must weigh their deep ties to the forest against the economic pressure to move south to the city.,1794 (Post),Trading Post site / Settlement
Red River Settlements (North of Upper Fort Garry),49.9500° N,97.1000° W,"Network of narrow river lots extending north, home to hunters and farmers. Lots extended two miles east and west of river.",Generations on the Red: A family saga following a Métis family on their narrow lot from the fur trade through the 1869 Resistance.,Pre-1870,Settlement / Parish
Riding Mountain,50.6667° N,99.4167° W,"Known as Manitouapau Hills or ""Hill of the Buffalo Hunt"". Sacred grounds for elk and a strategic migration route.",Hunts of the Mountain: A spiritual story following a hunter through the sacred migration routes and the Elk Sacred Grounds.,Ancient,Historic Site / Landmark
Rivière aux Islets de Bois (Carman),49.4994° N,98.0017° W,"Winding river site famous for cart builders and ""sugar lots"". Now called Boyne River.",Sugar Bush Traditions: A narrative about families who returned to the same maple groves every spring for generations.,1825,Settlement
Rivière Esturgeon (St. Charles),49.8800° N,97.3000° W,Métis community west of Sturgeon Creek with a buffalo crossing and ferry. Formally renamed St. Charles in 1854.,Crossing the Esturgeon: A story set during the 1852 flood as families flee to the higher ground of the St. Charles parish.,Early 1800s,Parish / Settlement
Rivière Gratchias (Morris),49.3528° N,97.3331° W,Rest stop for Red River carts making their way south to St. Paul. Named for the abundant burdock (gratchias).,Cart Trains at Gratchias: A narrative exploring the vibrant culture of cart trains as they rest and repair at the Morris site.,Historic,Settlement / Transportation site
Rivière Sale (St. Norbert),49.7611° N,97.1517° W,Settlement dating back to 1822; cradle of the 1869-70 Resistance. Site of the famous wooden blockade turned back McDougall.,The Barrière Morning: A historical drama centered on the morning the Métis blockade turned back the Canadian governor and his retinue.,1822,Parish / Settlement
Rivière St. Pierre,49.4456° N,97.0422° W,An early explorer name for the Souris River and the Little Saskatchewan River.,Naming the Waters: A narrative following explorer's men as they name the winding rivers in the 1730s.,1734,Geographic Feature
