Location Name,Latitude,Longitude,Description,Story,Founded,Community Type
Rock Lake (Lac des Roches),49.2167° N,99.2000° W,Source of Pembina River; inhabited by descendants of Henry’s Métis employees. People intermarried with Nakoda and Chippewa Cree.,The Lake Band: A story about intermarried families depicting their shared life and trade connections in the Pembina hills.,Historic,Settlement
Rooster Town,49.8600° N,97.1600° W,"Last known road allowance community in Winnipeg, located between railway tracks. Named Pakan Town for hazelnuts. Evicted in 1959 to make way for a shopping mall and school.",Hazelnut Summer: A poignant story follows a child harvesting nuts while sensing the impending arrival of the city’s bulldozers in 1959.,#N/A,Road Allowance Community
Rooster Town (Pakan Town),49.8600° N,97.1600° W,"Last known road allowance community in Winnipeg, located between railway tracks. Named Pakan Town for hazelnuts. Evicted in 1959 to make way for a shopping mall and school.",Hazelnut Summer: A poignant story follows a child harvesting nuts while sensing the impending arrival of the city’s bulldozers in 1959.,Early 1900s,Road Allowance Community
Salt Point Métis Settlement,52.0167° N,99.5833° W,"A community stretching along a five-kilometre section of the east shore of Lake Winnipegosis, accessed via PR #276. In the 1800s, the Monkman family operated a large-scale salt-making enterprise here, preparing salt by evaporation for the Hudson's Bay Company.",The Brine Boilers: A story detailing the grueling labor of the Monkman family as they harvest and evaporate salt across the lake from Winnipegosis to supply the northern brigades.,1800s,Settlement
Sandy Bay,50.5333° N,98.6333° W,"Originally the White Mud Band, these Ojibway-French mixed-bloods were relocated multiple times—first 20 miles north of Westbourne, then straight north in 1873, and finally to the current site in 1877 due to a surveyor’s error. In 1885, many members were pressured into withdrawing from Treaty to take scrip.","The Scrip Deception: A legal drama following François Desmerais and the 1886 petition to the Prime Minister, detailing how families felt ""forced"" to take scrip and sell it for goods, only to regret it a week later.",1871,Settlement
"Sault à la Biche (Deer Rapids, St. Andrews)",50.0500° N,96.9167° W,Located at the limestone rapids of the Red River south of Selkirk. It was chosen for early Indian and Métis settlements because the high ground offered protection from the massive floods that frequently devastated the Forks. The Selkirk Settlers later renamed the area St. Andrews.,"Refuge on the Rapids: A historical survival story following a family as they flee the 1826 flood, finding safety on the limestone banks of Sault à la Biche while the central settlement is submerged.",Early 1800s,Settlement
Saulteaux Village,49.9822° N,97.9011° W,"A French-Métis parish on the Assiniboine River between St. François Xavier and Poplar Point. Father Belcourt founded the mission to transition the Métis and Saulteaux to a sedentary lifestyle by providing plows and oxen to plant potatoes, corn, and oats. The settlement included a school led by the Nolin sisters, who were fluent in French, English, Ojibwa, and Cree.","Graves in the Current: A haunting historical piece set during the catastrophic 1882 flood. As the cemetery slides into the rising Assiniboine, families are forced to make a difficult trek to North Dakota with their parish priest, Cyrille Saint-Pierre, to seek a new beginning.",1832,Parish / Settlement
Selby Town,50.4700° N,101.2800° W,"A Métis road allowance community south of Binscarth. It was settled in 1939 by refugees from Ste. Madeleine after their original homes were burned. The community was sarcastically named ""Selby Town"" after one of the municipal officials the Métis blamed for their displacement.","The Sarcastic Name: A story of community resilience where the displaced families of Ste. Madeleine use humor as a weapon of protest, naming their shanty town after the man who signed the order to burn their homes.",1939,Road Allowance Community
Seven Oaks (Sept Chênes),49.9325° N,97.1189° W,Site of the 1816 battle known to the Métis as La battaille de la Grenouillère (Battle of Frog Plain). The conflict began when HBC Governor Semple's men opened fire on a Métis brigade led by Cuthbert Grant. The Métis victory is commemorated as a defining moment of national identity.,"Paashkiiyaakanaan (We Won): An action-filled historical retelling of June 19, 1816, following the young Joseph Letendre dit Batoche during the frantic minutes of the battle that changed the course of the fur trade.","June 19, 1816",Historic Site (Battlefield)
Shoal River,52.7500° N,100.7000° W,"An HBC post located on Pelican Lake, which was part of the Shoal River system. It served as a trade hub for the local Cree-Saulteaux Band and was connected to the settlement at Pelican Rapids.",Trade at Shoal River: A narrative focused on the seasonal interactions and kinship ties between the Métis traders at the post and the members of the Shoal River Cree-Saulteaux Band.,#N/A,Settlement / Trading Post
Shoal River House,52.7500° N,100.7000° W,"An HBC post located on Pelican Lake, which was part of the Shoal River system. It served as a trade hub for the local Cree-Saulteaux Band and was connected to the settlement at Pelican Rapids.",Trade at Shoal River: A narrative focused on the seasonal interactions and kinship ties between the Métis traders at the post and the members of the Shoal River Cree-Saulteaux Band.,Historic,Trading Post
"Skownan, Rock Ridge and Mallard Métis Settlements",51.6833° N,99.4667° W,"A cluster of settlements on the south shore of Waterhen Lake. Skownan is a Cree name meaning ""to turn around the point."" These communities were originally mixed Saulteaux-Métis bands that utilized the rich resources of the lake for hunting and fishing.","Turning the Point: A family saga following the migration of families between Mallard and Rock Ridge in 1895, drawn by the abundance of wild game, berries, and Seneca root.",1895 (Mallard),Settlement
Smokey River,55.4500° N,118.2000° W,This location is identified in the Virtual Museum of Métis History and Culture as having significant scrip applications from the Alberta region. It represents a key area of Métis settlement in the western homeland territory beyond the Red River Valley.,"Scrip on the Smokey: A narrative exploring the 1885 scrip commission's visit to the Smokey River area. The story follows a family as they weigh the government's offer of scrip against their traditional land rights, illustrating the legal and social shifts occurring in the western Métis settlements during the late 19th century.",Historic,Settlement Hub
South Indian Lake Métis Settlement,56.7833° N,98.9167° W,"A community located 130 km north of Thompson. Originally home to a 1930s HBC post, the area was devastated by the Churchill River Diversion Project, which flooded the lake and ruined the traditional fishing and trapping economy.","The Diverted River: A modern tragedy following a commercial fisherman at South Indian Lake as he watches the rising, murky waters of the hydro project destroy the pristine whitefish grounds of his ancestors.",1803 (Original Post),Settlement
Spring Creek (Lewistown),47.0625° N,109.4281° W,"Located in Montana, this site is recognized for its first Catholic pioneers from the Métis community. It was a significant destination for Métis families migrating south from the Red River Settlement during the late 1800s.","Montana Pioneers: A family saga detailing the long trek from the Red River valley to Spring Creek, Montana. The plot explores how the community established a new life on the ""Front Range,"" maintaining their Michif language and Catholic traditions in a new territory.",Late 1800s,Settlement
St. Adolphe,49.6764° N,97.1136° W,Red River parish founded by Métis in early 1800s. Site of 1869 Resistance action against surveyors.,The St. Adolphe Resistance: An action story about the day Métis pulled out John Snow’s survey stakes to protect their property.,Early 1800s,Parish / Settlement
St. Ambroise,50.2742° N,98.0772° W,"A small Métis community on the southeast tip of Lake Manitoba. After 1870, many Métis relocated here to ""scrub land"" that was independent and self-sufficient. The community relied heavily on the October whitefish run and harvesting saskatoon berries.","Berry Summer, Fish Fall: A vibrant seasonal narrative exploring the life of the community as they transition from the July berry festival to the intense labor of the fall whitefish spawn.",1870 (Relocation),Settlement
St. Ambroise Dakota Entrenchment (Historic Site),50.2764° N,98.0753° W,"A continuous circular earthen embankment 114 metres in diameter with interior rifle pits. It was built by a group of Dakota led by ""The Leaf"" who were fleeing bounty hunters in 1864. The site is a rare example of a ćunkaśke (Nation of the Forts) defensive structure.","Rifle Pits at Dawn: A tense historical drama set in May 1864, as the Dakota frantically dig entrenchments to protect their women and children from a looming attack by Minnesota bounty hunters.",1864,Historic / Defensive Site
St. Andrews,50.0667° N,96.9167° W,Located at the limestone rapids of the Red River south of Selkirk. It was chosen for early Indian and Métis settlements because the high ground offered protection from the massive floods that frequently devastated the Forks. The Selkirk Settlers later renamed the area St. Andrews.,"Refuge on the Rapids: A historical survival story following a family as they flee the 1826 flood, finding safety on the limestone banks of Sault à la Biche while the central settlement is submerged.",1823,Parish / Settlement
St. Anne de Chênes,49.6633° N,96.5986° W,See Pointe des Chênes.,See Pointe des Chênes.,1850s,Settlement
St. Boniface,49.8906° N,97.1197° W,"Named by Bishop Provencher in honor of an English missionary. It was the historic center of the Red River Settlement and the administrative heart of the Métis Nation. Provencher famously said it would take ""the faith of a Boniface"" to work with the Métis.",The Heart of the Nation: A historical account of the founding of the mission and its transformation into the central gathering place for the legislative assembly that brought Manitoba into Confederation.,1818,Parish / Settlement Hub
St. Charles,49.8800° N,97.3000° W,"The location of ""The Passage,"" a natural ford for Red River carts. Among the earliest settlers on the river lot farms were the Beauchemin, Hogue, and Morrissette families.","Bypassing the Forks: A story about independent traders in the 1840s using ""The Passage"" in Charleswood to bypass the HBC monopoly at the Forks.",Early 1800s,Parish / Settlement
St. Eustache (formerly Baie St. Paul),49.9742° N,97.8506° W,"Originally part of the Baie St. Paul parish, the mission was destroyed by extensive flooding in 1882. Many residents relocated to North Dakota, but Bishop Tache sent missionary Thomas Quevillion to find a new, higher site. St. Eustache was established in January 1898 and named after the patron saint of hunters. In 1958, it was recorded as a large road allowance community with 434 Métis residents.","The Saint of Hunters: A historical story about the community's rebirth in 1898. Following the heartbreak of seeing their ancestors' graves slide into the Assiniboine River in 1882, the narrative follows a family as they work with missionary Thomas Quevillion to build a new church on safer ground, dedicating their new home to St. Eustache to honor their enduring identity as buffalo hunters.",1898,Settlement / Road Allowance
St. François Xavier,49.9197° N,97.5511° W,Established by Cuthbert Grant in 1823 as a buffer for the Red River Settlement. First industrial site in Manitoba for cart construction.,The Cart Builders: An epic narrative about the assembly of a 900-person cart brigade at Grantown for the massive annual hunt on the plains.,1823,Parish / Settlement
St. Joseph (Walhalla),48.9228° N,97.9172° W,"This location in North Dakota was where Father Belcourt moved his mission and school in 1853, thirty miles west of Pembina. It became a significant hub for Métis families who were forced to leave the Red River Settlement or Pembina due to international boundary shifts. It was also the home of John Tanner before he enlisted in the Union Army during the American Civil War.","The Mission on the Hill: A story focused on the 1853 relocation of Belcourt’s parishioners from Baie St. Paul to St. Joseph. The plot details the labor of building a new school and church on the slopes of the Pembina Hills, creating a sanctuary for families seeking a life away from the fur trade monopoly of the Hudson's Bay Company.",1853,Mission / Settlement
St. Laurent,50.4194° N,98.0050° W,Established by Métis forced to leave Pembina when it became American territory. Residents maintained a strong Michif identity despite church and school pressure to adopt standard French.,Persistence of Michif: A linguistic drama set in a schoolroom where Métis students secretly maintain their language despite authorities' pressure to change.,1824,Settlement
St. Mary’s (Portage la Prairie),49.9625° N,98.3106° W,"Founded in 1853 by Reverend William Cockran and families from Middlechurch and St. Andrews. The settlers moved westward as the good river lots near the Forks were exhausted, seeking new farmland along the Assiniboine.",Portage Bound: A narrative following the Anderson and Whitford families as they drive their carts west from the crowded Red River to stake a new future at St. Mary’s.,1853,Parish / Settlement
St. Norbert,49.7611° N,97.1517° W,Settlement dating back to 1822; cradle of the 1869-70 Resistance. Site of the famous wooden blockade turned back McDougall.,The Barrière Morning: A historical drama centered on the morning the Métis blockade turned back the Canadian governor and his retinue.,1822,Parish / Settlement
St. Peter's Mission,47.4167° N,111.7500° W,"Listed in the Virtual Museum index, this mission is noted for its students, including those who were contemporaries of Louis Riel. It was part of the broader network of Jesuit and Catholic missions that educated the Métis leadership in the mid-to-late 19th century.","Riel’s Classmates: A narrative set in the mission schoolroom, exploring the intellectual and political awakening of young Métis students. The story details the influence of the mission's teachings on their understanding of land rights and national identity, which would later fuel the Resistance movements.",Historic,Mission
St. Pierre,49.4456° N,97.0422° W,An early explorer name for the Souris River and the Little Saskatchewan River.,Naming the Waters: A narrative following explorer's men as they name the winding rivers in the 1730s.,1822,Settlement / Wintering site
St. Vital,49.8206° N,97.1086° W,"Site of the early Métis river lots for families like the Riels, Naults, and Bruces. It developed along a broad elbow of the Red River south of St. Boniface. The Grey Nuns opened a school here in 1860.","Raising Riel: A domestic drama set in the Riel home in St. Vital, following the young Louis as he learns the traditions of the buffalo hunt and the responsibilities of leadership.",1824,Settlement
Ste. Madeleine,50.4500° N,101.3500° W,"A traditional community of over twenty families homesteaded since the 1870s. In 1938, the town was destroyed to create a community pasture. Homes were burned, dogs were shot, and the church was dismantled.","Defending the Bell: An intense story of defiance where Joe Venne and community members arm themselves with rifles to confront the crew sent to dismantle their church, saving the building from becoming a piggery.",1870s,Settlement (Destroyed)
Ste. Rose du Lac,51.1147° N,99.4914° W,"Established in 1889 by families from St. Vital looking for haylands to overwinter their animals. Led by the sons of Jean Baptiste Spence and guided by John Desmarais, they settled on the Turtle River.","The Exploratory Trip: A story following the Neault and Spence families on their 190-mile journey from St. Vital to the Turtle River, discovering graves marked by a tall oak cross that proved their ancestors were already there.",1889,Settlement
Stony Mountain,50.0886° N,97.2250° W,"Known as ""Snake Indian Hills,"" it was a high-ground sanctuary used for centuries to escape Red River floods. The ""Faith Trail"" brought settlers in ox-drawn carts to the region.","Floods of the Valley: A story follows a cart brigade during the early 1800s, racing against rising waters to reach the safety of the Stony Mountain plateau.",1870 (Homestead),Sanctuary / Landmark
Stovepipe (Tuyau),53.9695° N,110.1767° W,"A road allowance tent community in the Ste. Anne area inhabited by the families of woodcutters working in the forests to the east. The name ""Stovepipe"" referred to the makeshift stovepipes poking through the tent roofs.","Shanties of Stovepipe: A survival story detailing the daily life of a woodcutter's family in the Ste. Anne area, living in a road allowance camp during a bitter winter.",Mid-1800s,Road Allowance Community
Sugar Island (Lake Manitoba),51.1000° N,98.9000° W,"A historic maple sugaring site for the Métis of Ebb and Flow and Bacon Ridge. Families like that of ""Nonoonse"" returned every spring for over forty years to continue the traditions of their grandmothers.","Syrup Spring: A cultural narrative centered on Nonoonse as she returns to Sugar Island to tap the maples, demonstrating the enduring spiritual and economic importance of the sugar bush.",Ancient,Traditional Harvesting Site
Summerberry Marsh,53.8333° N,100.8333° W,"A massive drainage basin east of The Pas used for muskrat trapping. The traditional livelihood was destroyed by the Grand Rapids Dam, leading to a long struggle for compensation by the Métis Federation.",The Muskrat Marsh: A family narrative following the impact of the Grand Rapids Generating Station on commercial trapping and the eventual fight for historical justice and compensation.,Historic,Traditional Harvesting Area
Swan Creek,50.6000° N,98.0500° W,"Located north of St. Laurent near Monkman’s Point. It was inhabited primarily by the Monkman family and their relations, who eventually moved to St. Laurent to form a larger Métis hub.",The Monkmans of Swan: A story following a family moving from their isolated creek-side home to the growing community of St. Laurent following the 1871 treaty.,Pre-1871,Settlement
Swan River (and Swan River House),52.1081° N,101.2647° W,Established in 1790 by the HBC and Cuthbert Grant. The post’s primary purpose was to trade for birch bark for canoe-making. Many modern Métis families trace their roots to the men who operated this post.,Bark and Fur: A historical piece focusing on the skilled Métis canoe-makers at Swan River House who were vital to the logistics of the entire northern trade network.,1790,Fort / Trading Post
Tanner’s Crossing (Minnedosa),50.2464° N,99.8453° W,"Founded by John Tanner, a veteran of the American Civil War, who built a ferry and store here on the Carlton Trail. The name was changed to Minnedosa in 1883 by land speculators.","The Crossing Ferry: A historical piece following John Tanner’s journey from the Union Army to the Little Saskatchewan River, establishing a vital hub for the western cart trains.",1869,Settlement / Transportation Hub
Teton River,47.8167° N,110.6667° W,This site in Montana (South Fork) is identified as a significant Métis community in the Virtual Museum. It served as a wintering and hunting quarter for the plains Métis moving across the international boundary.,"The South Fork Hunt: A narrative following a Métis hunting brigade as they establish a winter camp on the Teton River. The story illustrates the vast geographic reach of the Métis family networks, linking the Montana plains to the Red River settlements through marriage and trade.",Historic,Settlement / Wintering site
The Corner (Li Kwayn),50.4689° N,101.2989° W,"A road allowance community near Binscarth for Ste. Madeleine refugees. Located on a former gravel pit, residents built the St. Hubert Church using logs salvaged from their burned village.","Salvaged Timber: A story of spiritual resilience where families painstakingly drag logs from their destroyed village to ""The Corner"" to rebuild their sanctuary and their lives.",1939,Road Allowance Community
The Pas,53.8247° N,101.2417° W,"Rendezvous point for Cree and Métis hunters. Site of Devon Mission, established by Rev. Henry Budd in 1840.","Devon Mission: A biographical story about Rev. Henry Budd, exploring his leadership in building the local mission.",1741 (Fort),Settlement / Rendezvous Site
The Passage (Charleswood),49.8517° N,97.2831° W,A natural ford for buffalo and Red River carts where the Assiniboine River was shallow. It was used by independent traders to bypass the HBC monopoly at the Forks.,"Bypassing the Forks: A suspenseful story about ""free traders"" in the 1840s using ""The Passage"" under the cover of night to smuggle furs past the company's eyes.",Early 1800s,Transportation Landmark
Thicket Portage,55.3217° N,97.6881° W,"Located on the Hudson Bay Railway line. Before the rail, the Métis here operated York boats and dog teams. The community was a key sturgeon fishing camp known as ""The Fiddle.""","Fishing the Fiddle: A narrative detailing the seasonal rhythms of the sturgeon fishery at Thicket Portage and the transition from river travel to the ""Bay Line"" railway era.",1914 (Rail),Settlement (Railway)
Thomas Métis Settlement,50.4700° N,101.2800° W,A road allowance community outside of The Pas named for the founding family. It was represented by the Northern Halfbreed Association starting in the 1930s.,The Thomas Claim: A story of the family's struggle for land title and recognition as they lobby the government to survey the Crown lands they called home.,1930s,Road Allowance Community
Tin Town,53.8200° N,101.2500° W,A road allowance community south of Rooster Town in Winnipeg. It was built from scrap metal and tin by destitute families during the Depression.,Baseball on the Flats: A lighthearted sports story about high-stakes baseball games played on dirt lots between the children of Rooster Town and Tin Town in the 1950s.,1930s,Road Allowance Community
Tokyo at Crescent Lake,50.4000° N,102.5000° W,A Métis community located near Crescent Lake in Saskatchewan. It is listed as one of the many dispersed settlements that formed after the migrations of the late 19th century.,"Life at Crescent Lake: A communal story detailing the daily life of families in ""Tokyo,"" exploring their strategies for self-sufficiency through small-scale farming and trapping while maintaining their unique Michif culture in the Saskatchewan interior.",Historic,Settlement
Totogan,50.1500° N,98.3167° W,"A settlement at the junction of Rat Creek and Whitemud River. Its name means ""low, swampy land."" It was once touted as the ""New Chicago"" before extreme floods in the 1880s led to its abandonment.","The Chicago of the North: A historical tragedy depicting the final days of Totogan as floodwaters rise, causing buildings to float away and settlers to pull up stakes.",1870s,Settlement (Abandoned)
Turtle Mountain,49.0531° N,100.1836° W,"A favorite wintering spot with abundant game. Turtle Mountain House was established in 1846 and operated by Antoine Desjarlais until 1855. It was a site of Métis resistance and starvation during the ""winter of 1894.""","Starvation Winter: A historical drama focused on the 1894 winter, depicting the community's struggle for survival and the failure of government aid during an extreme blizzard.",#N/A,#N/A
Turtle Mountain (and Turtle Mountain House),49.0531° N,100.1836° W,"A favorite wintering spot with abundant game. Turtle Mountain House was established in 1846 and operated by Antoine Desjarlais until 1855. It was a site of Métis resistance and starvation during the ""winter of 1894.""","Starvation Winter: A historical drama focused on the 1894 winter, depicting the community's struggle for survival and the failure of government aid during an extreme blizzard.",1846 (Post),Landmark / Settlement
Umphreville or Humphreville (Settlement),53.8400° N,101.2100° W,"A road allowance community northeast of The Pas named for its patriarch, John Umphreville. The family was connected to a vast kinship network extending from Moose Lake to Prince Albert.",The Umphreville Saga: A story following the patriarch’s descendants as they build a legacy in the northern river delta despite being excluded from town services.,1900s,Road Allowance Community
Upper Athabasca,54.8167° N,118.0000° W,"This region's history is characterized as an Upper Athabasca Ethnohistory, involving the Snare, Snake, and Iroquois-Métis people. It was a key area for the northwestern fur trade and the Iroquois voyageur families who settled there.","The Mountain Voyageurs: A historical piece following the descendants of Iroquois ""trip-men"" as they settle in the Upper Athabasca. The narrative explores the blending of cultures in the mountain foothills, creating a distinct Métis identity rooted in the demanding labor of the northwestern canoe brigades.",Historic,Settlement Hub
Upper Fort Garry,49.8886° N,97.1308° W,"Network of narrow river lots extending north, home to hunters and farmers. Lots extended two miles east and west of river.",Generations on the Red: A family saga following a Métis family on their narrow lot from the fur trade through the 1869 Resistance.,1822,Fort / administrative center
Wabowden,54.9142° N,98.6258° W,"Originally located at Setting Lake on the Grass River route, it relocated to Bowden Lake with the railway in the 1920s. It remains a major center for commercial fishing in the north.","Fish Station Rhythms: A narrative centered on the Wabowden fish station, exploring the logistics and camaraderie of the northern commercial fishery.",Late 1800s,Settlement
Waterhen River (Rivière de la Poule d'Eau),51.7289° N,99.5317° W,The primary outflow for Lake Winnipegosis into Lake Manitoba. It was a vital transportation route used by Métis and Saulteaux hunters to move between St. Laurent and Duck Bay.,Traversing the Waterhen: A travel narrative following a hunting party as they navigate the complex river channels between the two great Manitoba lakes.,Historic,Transportation Route
Wekusko (Herb) Lake,54.8333° N,99.7500° W,A mining supply center developed after gold was discovered in gold-bearing quartz in 1914. Former MMF President Ed Head worked here as a diamond-driller.,"Herb Lake Gold: A gold rush story from a Métis perspective, depicting the impact of the sudden influx of prospectors on traditional trapping grounds.",1914,Settlement (Mining town)
Wheat City,49.8483° N,99.9500° W,"A Métis community in Charleswood dating to the 1820s, located near a buffalo crossing. Families like the Branconniers and Morrissettes worked as harvest laborers and ferrymen.","Old Mrs. Morrissette’s Memory: A narrative centered on ""Old Mrs. Morrissette"" recounting her vivid memories of the 1826 flood for the children of the 1880s settlers.",1820s,Settlement
Whiskey Flats,49.0167° N,113.1167° W,"Listed alongside Moccasin Flats in the Virtual Museum, this was a road allowance community. These communities were often characterized by pejorative names given by nearby white settlements and lacked basic services like water and sewage.","Life on the Flats: A survival story set in a road allowance community, where families use their ingenuity to build homes from scrap materials. The narrative focuses on the community's resilience in the face of social segregation and their determination to provide an education for their children despite being excluded from municipal services.",Early 1900s,Road Allowance Community
White Mud River,50.1500° N,98.3167° W,"First named ""White Mud River Settlement"" after the color of the clay on its banks. It was a hunter's village with a small church and burial ground.","The White Mud Census: A story based on the 1870 census of the 150 residents, detailing the daily lives of hunters and their families before the 1881 floods.",#N/A,Settlement
White Mud River Settlement (Rat Creek and Totogan),50.1500° N,98.3167° W,"First named ""White Mud River Settlement"" after the color of the clay on its banks. It was a hunter's village with a small church and burial ground.","The White Mud Census: A story based on the 1870 census of the 150 residents, detailing the daily lives of hunters and their families before the 1881 floods.",Historic,Settlement (Abandoned)
Whiteway Point,51.6833° N,96.8833° W,A point on the narrows of Lake Winnipeg named after the HBC official in charge of the post. It is now called West Doghead Point.,Post at the Narrows: A historical account of daily life at the isolated Lake Winnipeg outpost as seen through the eyes of its Métis staff.,Pre-1859,Trading Post (Outpost)
Williams County,48.3333° N,103.5000° W,"Located in North Dakota, this county is identified as a site of significant Métis residence and history in the Virtual Museum. It represents the southern extension of the Métis Homeland.",Borderland Kin: A story of a Métis family whose land holdings and kinship ties span the boundary between Manitoba and Williams County. The plot centers on the challenges of navigating new international regulations that threatened to divide their community and their traditional hunting territories.,Historic,Settlement
Willow Bunch,49.3986° N,105.6917° W,"Historically known as Talle de Saules, this was a vital hivernant (wintering) community in Saskatchewan. It was a major destination for Métis families after the 1870 and 1885 Resistance movements.","The Willow Haven: A narrative set after the 1885 Resistance, following families as they find sanctuary in Willow Bunch. The story details the community's transformation from a temporary wintering site into a permanent cultural hub for the plains Métis.",Historic,Settlement / Wintering site
Willow Flats,49.0000° N,105.0000° W,A Métis road allowance community located in the Northwest Territories. It is part of the extensive northern network of Métis settlements characterized by displacement and landlessness.,"Northern Resilience: A modern story set in the NWT, focusing on the history of the Willow Flats residents as they advocate for land titles and recognition of their unique contributions to the northern economy and transportation networks.",Early 1900s,Road Allowance Community
Winnipeg-St. Boniface,49.8906° N,97.1197° W,"The historic heart of the Red River Métis Homeland, this area served as the administrative, religious, and political center. St. Boniface was named by Bishop Provencher, who said it would take ""the faith of a Boniface"" to work with the Métis. The region is covered in multiple census databases (1901, 1911, 1916) and was the site of the Legislative Assembly of Assiniboia.","The Forks of History: A sweeping historical narrative set during the winter of 1869-70. The plot follows the families of St. Boniface as they gather at the Cathedral and Upper Fort Garry to support Louis Riel’s provisional government, illustrating the community's role in the birth of the province of Manitoba and the defense of Métis rights.",1818,Parish / Settlement Hub
Winnipegosis,51.6553° N,99.9239° W,"Named for the Cree word meaning ""Little Muddy Water."" It was the site of the 1741 Fort Dauphin and later a major center for the 20th-century timber and fishing booms.","Little Muddy Water Boom: A story set during the community's economic peak, following a family working in the timber mills during the early 1900s.",1741 (Fort),Settlement
York Factory,57.0017° N,92.3047° W,The central base of operations for the HBC fur trade for centuries. It featured a massive octagonal star fort designed to withstand naval attacks.,The Star Fort: A historical piece detailing the 1697 Battle of Hudson’s Bay—the largest northern naval battle—taking place just off the coast of the factory.,1684,Fort / Trading Post
Young Point Settlement,51.7833° N,101.2167° W,"A road allowance community south of The Pas in the Pasquia Settlement named for Josiah Young. It was excluded from town boundaries, denying residents basic services.",Outside the Boundaries: A social drama focusing on the Josiah Young family as they build a productive life on the road allowance while being denied town water and sewer.,1950s (Census),Road Allowance Community