Location,Classification,GPS Coordinates,Full Description,Story 1,Story 2,Connected locations
Cold Lake,Road Allowance,"55.12403° N, –101.08662° W","Cold Lake, or Kississing in Cree, was a Métis road allowance community located south of Sherridon, Manitoba (then a mining town) on Kississing Lake, 800 km. northwest of Winnipeg. Senator Ed Head of Manitoba Métis Federation recalled: “My parents were married in The Pas. They went to Cranberry Portage and from there walked to Cold Lake, Manitoba (just south of Sherridon).” “The place we lived was nicknamed 'Moccasin Flats.' That's where the Métis lived, and it was always the way the Métis lived. They called us 'Road Allowance Indians',” Ed explains. They had settled there because Ed's grandfather had moved there. His father did odd jobs for Sherritt-Gordon then was hired as a miner. Ed's grandfather had a guiding business and guided the Sherridon Mine Manager into the mine, overland from Cumberland House. “Cumberland House was the main juncture going into the North in the late 1800's,” says Ed. “Eldon Brown, the prospector who discovered the ore body at Sherridon came through Cumberland House and needed a guide. My great-grandfather was busy, so my grandfather, James Sayese, met up with Brown and became his guide. He worked for Brown as a personal guide for a long time. Later he went to work for Sherritt-Gordon.” Ed recalled that often they would be asked to move from the road allowance but would just move further down the road and cut more logs to rebuild their homes. A 1958 census documented 132 Métis living at Cold Lake and Sherridon.",,,
Cooks Creek,Traditional Settlement,"50.01821, -96.77339","Cooks Creek was named after Joseph Cook who lived at the confluence of the Red River and Cooks Creek. It enters the Red River north of East Selkirk. The community formed by Ukrainian settlers is on the Creek southeast of Lockport. A school under Joseph Cook (1788-1848) was opened in 1834 at Sugar Point (Mapleton-Selkirk) and people were encouraged to build houses and learn to farm. The log school-house (6 x 12 meters) also functioned as a teachers residence, and had a loft that doubled as a granary. Cook was the first teacher, with 32 children attending.
 
St. Peter’s Anglican Mission was started at the Cook’s Creek location in 1833 by Reverend William Cochrane on land donated to the CMS by Chief Peguis. The first church was built in 1836, Chief Peguis was baptized there in 1838. By 1850 there were about 500 residents with 230 acres of land under cultivation on narrow river lots adjoining the church. The present day stone church, St. Peter Dynevor, was constructed 1852-54.",,,
Cranberry Portage,Traditional Settlement,"54.58623, -101.37797","Cranberry Portage important part of the pre-European contact trade routes of the Cree and Assiniboine peoples long before the fur trade with the Bay and during the fur trade era, this location was used as a campsite and portage between Grassy River, at the head of a number of well-used routes from Hudson’s Bay, and Lake Athapapuskow, which connected to the Saskatchewan River system. The three-kilometre portage between First Cranberry Lake and Lake Athapapuskow has been used for over 2,000 years.

Trader Joseph Smith is believed to have used that route and reach Lake Athapapuskow was the in 1763. In 1774, explorer Samuel Hearne paddled up the Grass River to Cranberry Portage and into Lake Athapapuskow en route to establishing Cumberland House. This route became known as the ""Upper Tract"" fur trade route. The North West Company established the Cranberry Portage Post in 1804.

Métis trapper David Collins from nearby Baker’s Narrows is acknowledged to have shown Tom Creighton the claim that was the basis for the Flin Flon mines. Collins is said to have received only several dollars’ worth of flour, lard and tea as compensation.
",,,
"Crane River, O-Chi-Chak-Ko-Sipi ",Traditional Settlement,"51.53549, -99.27971","Crane River is located on the west shore of Lake Manitoba (north end), and borders the Crane River First Nation. In the census of 1959 the Crane River community had 259 Métis residents. Historically the Métis and First Nations people collected salt at Crane River on Lake Manitoba, and Turtle River on Lake Dauphin.",,,
Cormorant,Traditional Settlement,"54.2167, -100.6000",Cormorant is on the east shore of Cormorant Lake about 80 kilometres north of The Pas. The area is a historic Indigenous campsite and fishing and trapping area. The census of 1959 counted 169 Métis residents in this community.,,,
Crescentwood,Traditional Settlement,"49.8670, -97.1575","With no bridge connecting the land that lay south of the Assiniboine River to Winnipeg, the area that was to become Crescentwood saw very little development before 1870. Most of the lots contained Métis farms, land belonging to the Roman Catholic Church, and others were used as wood lots, taking advantage of the mature oak tress of the river bottom forest. In 1880, a bridge was built across the Assiniboine at Main Street, and Winnipeg's first real suburb, Fort Rouge,
 
began to take shape. West Fort Rouge, the area that was to become Crescentwood, River Height and Tuxedo, was still largely inaccessible, and until the construction of the Boundary (Maryland) Bridge in 1896, there were only a few homes in the area. Crescentwood began to take its present form in 1902 through a combination of need and boosterism. Winnipeg's wealthy had traditionally lived in the city in neighbourhoods like Point Douglas and Armstrong's Point. By 1900, however Point Douglas was becoming a downtown industrial area, and Armstrong’s Point was fully developed. Crescentwood was the logical choice for those with wealth who were seeking an alternative to downtown. As the area developed the Métis were displaced moving south and west toward what was to become known as Rooster Town (see separate entry).

The district of Crescentwood was originally long, narrow lots running from the Red River southwest to Cambridge Street. The largest one, Parish Lot No. 43 St. Boniface, changed hands many times until in 1889 it was purchased by John Henry Munson who then built a substantial home on the Assiniboine River. When the C. H. Enderton Company purchased a large parcel of the land for subdivision and development, a representative went to Munson and asked if the new district could be named after his home, Crescentwood.

The Crescentwood area was part of the City of Winnipeg’s first official suburb. The area began to flourish once the Maryland and Osborne bridges were constructed.

The original Enderton development included a major portion of Crescentwood and a small corner of River Heights. In 1904, Enderton laid out Yale, Harvard, Kingsway and Dromore Avenues. He also purchased lots to create Oxford Street and the east side of Waverley north to Wellington Crescent. All the property on the river side of Wellington Crescent from Grosvenor Avenue to just beyond Elm Street in River Heights was his as well. Wellington Crescent was once an Indian trail following the curves of the Assiniboine River.

Many of the wealthiest residents moved into the new neighbourhood from 1904 until the 1913 recession. The remaining lots sold as the economy recovered. As the area developed the Métis moved further and further south west. Many Métis squatters were located at what was called Rooster Town located along the railway right-of-way between the Grand Trunk Pacific Railway which ran down what is now Grant Ave. and the CNR tracks to the south.

Corydon Avenue did not originally extend past Cambridge Street. It was later curved to line up with Jackson Avenue, with the entire stretch being re-named Corydon. The Jackson Avenue name was then moved over to a street just south of Grant.

The section of Grant Avenue that passes through our area was originally a combination of Ward Avenue and the westbound C.N.R. main lines. The train lines were later moved south of Taylor Avenue. Ward was twinned and re-named Grant Avenue.",,,
Curling River Post,Traditional Settlement,"50.45778, -99.99222","The Curling River, now called Rolling River flows into the Little Saskatchewan River above Minnedosa. In 1817, Peter Fidler sent his son Charles to establish a trading post on theis river north of present Rolling River Reserve and the Town of Elphinstone. This post was sometimes
 
called Charles Fidler’s House. The North West company countered with a post near present day Minnedosa and another post called Desjarlais House very near to Charles Fidler’s House.",,,
Dog Head,Traditional Settlement,,"The Dog Head Settlement was located on the east shore of Lake Winnipeg across from Matheson Island. The Hudson’s Bay Company Post was located on dog’s Head Point. The Métis of this area were quite itinerant. In 1901, Louis Simard Sr. says he was three years at Dog Head then eleven years at Bad Throat River then three years at Fisher River. He married Betsy Cochrane the daughter of Thaddeus Cochrane and Mary Stevenson. His wife was a member of Fisher River Band and left treaty commuting her annuity one year after they were married. Louis was a prospector and his claims included The Big Chief, Ketchener (Eclipse) and the San Antonio/Bissett area shafts.",,,
Dog Patch,Road Allowance,"49.91684° N, –97.18548° W","This was a Métis road allowance community located in the vicinity of the CPR Weston shops, just north of Logan Ave.",,,
Duck Bay,Traditional Settlement,,"Duck Bay is called Zhiishiibi-Zhiibiing (Duck River) by the Métis and Saulteaux. The present town of Duck Bay is located on a peninsula on the northwest shore of Lake Pittowinipik (Winnipegosis). For centuries this location was a fall gathering place for Aboriginal people. The neighbouring marshes provided for spring and fall migratory bird hunts and there was also a large fall fishery. The salt springs of the area were also a developed economic asset. In the 1800s Duck Bay became a wintering area for Métis hunters, fishers and traders. In 1839, Father Belcourt made his first visit to the community. Duck Bay House (1859-1887) at the south end of the bay was established by the Hudson’s Bay Company","The Duck Bay reserve of 9,620 acres was created after the Duck Bay Band entered Treaty Four. Subsequently a large number of Métis Band Members left treaty.

Namely:

Pierre Chartrand William Chartrand Joseph Chartrand Joseph Genaille Louis Guiboche Patrice Ferland François Chartrand Antoine Bone
Baptiste Chartrand Sr. Baptiste Chartrand Jr. Joseph Beauchamp Edouard Guiboche Alexis Ferland
Veuve Rosine Ferland

In 1883, Father Camper began to lobby for a new reserve to be created for the remainder of the Duck Bay Band at Pine River. In 1886 Father Dupont continued to follow-up with this request. The government agreed to this on the basis that the Half-Breeds who had withdrawn from treaty should retain their land at Duck Bay.

Subsequently the Duck Bay Reserve was surrendered by Headman Jean Baptiste Napakisit 4 signing on behalf of the Band, in 1899. Jean Baptiste was elected as Headman for a three year term on August 7th, 1886. Thus a new Reserve was created at Pine Creek.

As it happened, the Métis who had withdrawn from Treaty regretted their decision and petitioned to return to Treaty in 1993, however this request was refused.

Jean Baptiste was married to Eliza Mikish. Their daughter Isabelle (Flatfoot) Napakisit was married to Louis Pelletier.
 
The Indian Affairs documentation of this surrender is shown below.
",,
Eddystone,Traditional Settlement,,"This community first called Lonely Lake, is northeast of McCreary and south of Lonely Lake.. In 1938 Jim Spence of Eddystone donated a piece of land on which to erect the St. Thomas Aquinas Catholic Church for the Eddystone area. Joseph (Joe) Spence, Entienne St. Germaine and others got together to build the church. The priest, Father Peter came from Cayer (north of Lonely Lake) and served the community for many years.",,,
Grand Rapids (Red River),Traditional Settlement,"50.08° N, 96.94° W","In 1875, the federal government had set aside all of the land at Grand Rapids (except for the Indian Reserve and the Hudson’s Bay Company Reserve) as a government reserve in case a canal was constructed, had maintained its hold on the land through the 1890s, when it seemed possible that Grand Rapids might be the site of a bridge across the Saskatchewan for the Hudson Bay Railway. None of these schemes for Grand Rapids ever materialized. Canals had been pre-empted by railway construction, and it was decided that the proposed Hudson Bay Railway would not run through Grand Rapids. The government released its hold on the land, and R. E. Young surveyed the settlement at Grand Rapids in 1903 and laid out a town site along the river. The lots, from two to ten acres in size, were sold to the Métis and other residents at $1.00 per acre. Within a few years, however, the Métis had sold or lost title to these lands, to speculators, and asked the government for more. In 1914-15 W.E. Weld made a new survey, adding lots of one to six acres back of the earlier river lots. In an effort to protect the Métis from speculators these lots were leased rather than sold.

","In the 1960s the Province of Manitoba and Manitoba Hydro began negotiations for the Grand Rapids Hydro Project. The people of the area were at a great disadvantage, most of the Cree and Métis population did not speak English and they were not provided with technical support for the negotiations. In 1960 they began bulldozing the Métis homes at Grand Rapids. The bishop of Brandon a religious leader for the people commented “The little experience that I had with them dealing with the Métis people is that they are trying to get land and houses for the very minimum sums that they can get the people to sign for and after all to give the Indians or the Métis a sum of money which [at the time] may seem to them a fortune does not solve any problem for unless they can re-establish with some chance of providing for themselves, the Government is likely to have these people on the relief rolls for the rest of their lives.”2 Note that at this time the Métis had no provincial political representation as the Manitoba Métis Federation did not yet exist. . A 1958 census documented 236 Métis living at Grand Rapids.",,
Grande Pointe,Traditional Settlement,"49.76° N, 97.03° W","Grande Pointe was a Métis settlement dating back to the 1860s. It is located just south of St. Vital. There were some twelve or so families living in Grande at the time, a mixture of Metis, French, European and English.",,,
Hair Hills (Pembina Mountains),Traditional Settlement,"49.11° N, 98.24° W","The Hair Hills or Pembina Hills are actually a set of terraces (escarpment) rising on the western slope of the Red River Valley. They were called the Hair Hills because of the large amounts of buffalo wool rubbed off on the trees of the area. In terms of contemporary geographic boundaries, the Hair Hills would now be divided, almost in half, by the international boundary dividing the United States and Canada.",,,
Kinosota (Manitoba House),Traditional Settlement,"50.91° N, 98.87° W","In the mid-1790s the North West Company was established in this area at the narrows of Lake Manitoba. The HBC established a post here in 1797 under the name “Doubtful Post.” In 1828 Manitoba House was moved further south, below Ebb and Flow Lake, to what is now Kinosota. It was opened there to oppose the operation of the independent Métis hunters. The first families established at Kinosota were Tanner, Demarais, Pruden, Moar, McDonald, and Garrioch. The Métis settlement adjacent to the trading post was referred to as simply the Manitoba House Settlement until 1889 when the name Kinosota was suggested.",,,
"Longbody Creek, Kenepikiniwewe",Road Allowance,"51.79031° N, –96.71592° W","This was a Métis road allowance community established in 1988, after the Métis were displaced from Bloodvein Indian Reserve, located to the west of the creek. The community was near the confluence of the creek and the Bloodvein River. Subsequently, many of these people took Treaty Status under Bill 31 and returned to the reserve. To set up the community the Provincial Government passed By-Law No. 2/88, Northern Affairs (Community of Longbody Creek) Road Allowance Closure; between Sections 23 and 26-32-6 EPM. Within about five years the community has dispersed.",,,
Lorette (Petit Point des Chênes),Traditional Settlement,"49.74° N, 96.87° W","Lorette, 26 km south-east of Winnipeg, was settled in the 1850s by Métis from St. Boniface, St. Norbert and St. Vital. It was first known as Petit Point des Chênes and was settled by Métis farmers, freighters traders and buffalo hunters. The majority of the residents were voyageurs and hunters whose cattle grazed along the Seine River.",,,
MacGregor,Road Allowance,"49.95° N, 98.77° W","McGregor is located on Beaver Creek, 36 km west of Portage la Prairie. Jean Lagasse gives the Métis population of MacGregor as 48 in 1958. Roger Roulette says that as the town developed along the rail line the Métis and first Nations people were displaced to the north and south of the townsite. The last remnant of the Métis road allowance community was located on the north side of #1 highway just where it curves.",,,
Manigotagan,Traditional Settlement,"51.11° N, 96.31° W","In 1904 the settlement was surveyed into 18 river lots or homesteads. These 160 acre lots were laid out along both sides of the river with a narrow river frontage. In 1959 the Métis population of this settlement was 173. The Métis of the area fished, trapped and were employed by the local lumber mill.",,,
Matheson Island,Traditional Settlement,"51.73° N, 96.94° W","Island Métis people descend from Norwegian, English, and Icelandic settlers who had intermarried with Indians. Once called Snake Island, it was renamed Matheson Island in 1903. Daniel Matheson came to the Lake Winnipeg Narrows in the 1880s from York Factory where he was a HBC caretaker. One of the leading families was the Settee family, of British and Cree ancestry.",,,
"Metikewap, Wooden (bark) Tent",Road Allowance,"53.75039° N, –101.00362° W ",Wooden Tent is named after the Indian bark covered tepees. This Métis settlement was located on the Saskatchewan River downstream from The Pas just below Mistikewapi Lake. This community disappeared when the Grand Rapids dam was built raising the water levels along the Saskatchewan River and its delta.,,,
Moose Lake Métis Settlement,Traditional Settlement,"53.7027° N, –100.3062° W","Moose Lake is a small community located on the northern limits of the Saskatchewan River delta on the western shore of South Moose Lake about 74 km Southeast of The Pas in Manitoba. There is both an Indian reserve, home to the Mosakahiken Cree Nation, and a non-treaty community on adjacent land. The livelihood of the first Nations and Métis people in this community were greatly affected when the Grand Rapids dam was built raising the water levels along the Saskatchewan River and its delta. A 1958 census documented 282 Métis living in the Moose Lake Settlement.",,,
Netley Creek,Traditional Settlement,"50.31° N, 96.99° W","The North West Company opened a post at Netley Creek in 1803, on the west bank of the Red River. The Netley Marsh area as of 1805 was the most northerly limit of native horticulture. Group of Ottawa Indians first began to plant corn at this site in 1805. The Netley Creek village increased in size as the Ottawa were joined by the Red River Saulteaux who were also cultivating corn and potatoes. In 1813 the HBC established a second post just north of the junction of Netley Creek and the Red River.",,,
Pikwitonei,Traditional Settlement,"55.59° N, 97.15° W","The Métis of Pikwitonei were involved in building the rail line and responsible for its maintenance; at the same time they were hunters, fishers and trappers in the same area. The Métis of Pikwitonei hunted, trapped and fished commercially below Kelsey Rapids. This was part of the Nelson River sturgeon fishery. In 1959 there were 106 Métis living at Pikwitonei.",,,
Pine Bluff,Traditional Settlement,"53.82° N, 101.10° W","This was a Métis settlement located on the Saskatchewan River east of The Pas near Cedar Lake. There is evidence that people settled in Pine Bluff as early as 1874. Life in Pine Bluff was hard nonetheless the close-knit Métis community was productive and self-sufficient. The local economy consisted of hunting, trapping, fishing and farming. The community established a school, church, a fur trading post, and stores. The families of Pine Bluff were strongly entrenched in the community but unfortunately the development of the dam at Grand Rapids flooded the area and forced the relocation of the residents, of which most moved to The Pas.
","Throughout the 1800s the Métis of Fond du Lac used the entire Interlake region of Manitoba for their hunting trapping and fishing economy. They utilized the Duck Bay area extensively and travelled from there to the muskrat marshes just east of The Pas, Manitoba (part of the Territory of Keewatin at that time). This Pine Bluff camping site appears as a named site on a map in 1884. Around 1910, some of these Métis families decided to permanently settle at Pine Bluff, 50 miles southeast of The Pas along the Saskatchewan River. This gave them easy access to the resources of the Summerberry Marsh and the trapping areas right down to Grand Rapids on the Saskatchewan River. It is reported that the Métis had a fine sturgeon fishery on Cedar Lake. This high ground was also a stopping point when travelling between the Pas and Cedar Lake. The family names common to Pine Bluff were, Campbell, Chaboyer, Chartrand, Ducharme, Nabess, Azure, Lambert, Bourgoise, Lagimodiere, Beauchamp and Lavallee. The community had a small school from 1938 to 1942. The building of the Grand Rapids Dam meant the demise of this community since the flooding destroyed the fishery and trapping along the river and Cedar Lake. Many Métis lost both their fishing nets and all of their traps when the fore bay flooding began. The Métis had never received title to their land because the province refused to survey that area.",,
Rall’s (Rahls) Island,Road Allowance,"53.84° N, 101.10° W","This is a Métis road allowance community located on the Saskatchewan River downstream from The Pas. It is named for Charles Rall, a prospector from Red River, who married Elizabeth Knight (Métis). A 1958 census documented 10 Métis living at Rall’s Island.",,,
Rat River (Rivière aux Rats),Traditional Settlement,"49.44° N, 96.99° W","Rat River or Wasushk Watapa, was a Métis wintering site located where the Rat River flows into the Red River. The Rat River Métis Settlement surrounded the present day community of St. Pierre Jolys. The area had plentiful hay lands and wood for making Red River carts.",,,
Red Deer Lake,Traditional Settlement,"52.95° N, 101.37° W",This area was settled by the Métis in the late 1700s. The former Fort Red Deer River or Fort Rivière la Biche was a North West Company trading post on the Red Deer River about 20 miles upriver from Red Deer Lake. This area later became known for its lumber operations.,,,
Rooster Town,Road Allowance,"49.86° N, 97.17° W","Rooster Town is the last known Métis Road Allowance Community in Winnipeg. It was situated between what is now Grant Ave. and the CNR railway line which runs south of what is now Taylor Ave.
The Métis residents used to call this area Pakan Town (Michif/Cree) after the abundance of hazelnuts that grew in the area.3 The historical record indicates that there were Métis families, some of whom were squatters, living south of Corydon Avenue between Wilton on the east and Cambridge on the west in 1900. As south Winnipeg developed around Corydon Avenue, and the Grand Trunk and Pacific Railway built track down what is now Grant Ave. in 1908, a thriving Métis road allowance community grew up just north of the Grand Trunk4 and between the two sets of railway tracks—the Grand Trunk and Pacific on the north, and the CNR on the south. These homes had no electricity, running water or sewage systems.
With no bridge connecting the land that lay south of the Assiniboine River to Winnipeg, the area that was to become Crescentwood saw very little development before 1870. Most of the lots contained Métis farms, and others were used as wood lots, taking advantage of the mature oak tress of the river bottom forest. In 1880, a bridge was built across the Assiniboine at Main Street, and Winnipeg's first real suburb, Fort Rouge, began to take shape. West Fort Rouge, the area that was to become Crescentwood, River Height and Tuxedo, was still largely inaccessible, and until the construction of the Boundary (Maryland) Bridge in 1896, there were only a few homes in the area.
Crescentwood began to take its present form in 1902 through a combination of need and boosterism. Winnipeg's wealthy had traditionally lived in the city in neighbourhoods like Point Douglas and Armstrong's Point. By 1900, however Point Douglas was becoming a downtown industrial area, and Armstrong’s Point was fully developed. Crescentwood was the logical choice for those with wealth who were seeking an alternative to downtown. As the area developed the Métis were displaced moving south and west toward what was to become known as Rooster Town.
In the book Reflections, Yesterday and Today (MMF Press 1979), Jim Day of St. Laurent says, “I was born and raised on the outskirts of Winnipeg in a place known as Rooster Town. This place was situated where Grant Avenue is today.” This community existed until the late 1950s.
","“In the early years of the depression of the 1930s a number of homeless families, many of whom were destitute Métis built small shacks illegally on the Canadian National Railway property adjoining city owned land just off Grant Boulevard. As well, as suburban development advanced in River Heights, other shack dwellers re-located to this area. The area, now roughly between Weatherdon Avenue and the tracks from Cambridge to Rockwood Streets became known as Rooster Town.
Over the next quarter century the number of squatters varied with economic conditions. By the 1950s at least 30 to 50 people clustered there in more than a dozen shacks.5 Many owned their homes, but some paid $15 to $20 per month rent for the land they were on. Most of the men worked as seasonal labourers, cutting sod, delivering coal, or performing other casual work, and collected relief from the city when unemployed. Their wives raised their children in two to three room shacks without running water, sewer connections or other services.
After 14 children came to school with the skin disease impetigo in late 1951 the Winnipeg Tribune reporter wrote: “Whatever you do… don’t touch the Rooster Town children. You might get a skin disease. So the teacher calls for a group game and tells the children to join hands. Nobody would dare join hands with the Rooster Town children. In response the City directed Public Health nurses and social workers to the community. Alternate housing was found for six or seven families in 1952, but many preferred to stay where they were. In the summer of 1959, the city offered the last families cash payments of $50 to $75 to move or face eviction proceedings. With the school opening of Grant Park School in September 1959 and plans for a surrounding park area Rooster Town and its social problems had no place in Winnipeg’s suburbs""
",,
Sainte Agathe,Traditional Settlement,"49.56° N, 97.17° W","From the mid-1800s the river lots in this area were inhabited by Métis families who were buffalo hunters, freighters and farmers. Prior to 1872 the community was known as Pointe a Gouette and the 1870 District of Assiniboia census lists only two non-Métis inhabitants out of 157 people. After 1870, due to government mismanagement of the scrip system, most of the Métis were disenfranchised.",,,
Selby Town,Road Allowance,"50.65° N, 101.27° W","This was a Métis road allowance community south of Binscarth. The Métis from Ste. Madeleine were resettled here in 1939 after their homes and personal possessions were burned and they were displaced from Ste. Madeleine which was located to the west across the Assiniboine River. This community was sarcastically called Selby Town, after one of the municipal officials responsible for the loss of Ste. Madeleine. It was located to the south of another similar community called The Corner or Fouillard Corner. With the loss of the Belliveau School the Métis were forced to attend school in Binscarth or the St. Hubert Mission School on Gambler Reserve. With the loss of the Mission of Ste. Madeleine Church many of the Métis began attending services at the home of Joe Bushie (Boucher), he donated four acres of land where they built St. Hubert Church, using what they could of logs from the Ste. Madeleine church. A 1958 census documented 170 Métis living in the Binscarth area.",,,
St. Andrews (Sault à la Biche),Traditional Settlement,"50.08° N, 96.94° W","The site of early Indian and Métis settlements since this is higher ground than at the forks, and not subject to flooding. The Selkirk Settlers changed the name to honour the patron saint of Scotland.",,,
Ste. Madeleine,Traditional Settlement,"50.56670° N, –101.41670° W","For many decades prior to 1938, Ste. Madeleine was a traditional Métis community with over twenty large families. The Métis had homesteaded the land at Ste. Madeleine and the nearby Pumpkin Plain, north of St. Lazare, Manitoba since the 1870s. A mission had been set up there in 1902. However, under the Prairie Farm Rehabilitation Act, this land was designated to become community pasture, thus the community lost its town. Historically, the town was formed when Métis left the Red River area due to the actions of Wolseley’s Red River Expeditionary Force. Other Métis moved to the area from Saskatchewan and Alberta after the Resistance of 1885.
","In 1935, in the midst of the “Dirty Thirties,” the Canadian government set up the Prairie Farm Rehabilitation Act. The town of Ste. Madeleine and surrounding area called Pumpkin Plain was designated as pastureland. The Métis families who had their taxes paid up to date were to be compensated and relocated. However, because of the economic conditions of the time, few families had their taxes paid. The Métis were again forced to find a new home and they lost everything they had; their homes were burned, their dogs were shot, their church was to be dismantled and the logs sold to build a piggery. The priest from St. Lazare also sold the church bell and statues. When confronted by community members he said the money would not be returned and he was using it to build another church at St. Lazare. The plan to dismantle the church was foiled by Joe Venne and other community members armed themselves with rifles and confronted the crew sent to dismantle the church thus saving it. They then moved the family of Caroline and John Vermette into the building to protect it. By 1938, the once vital community had all but vanished. Today, all that remains of Ste. Madeleine are the stone foundations of the Belliveau School and the cemetery encircling the mound of grass where the church once stood. The wood from the schoolhouse was salvaged and now constitutes a major portion of the kitchen of what was the home of Yvonne and Fred LeClerc of Victor, Manitoba.",,
"Stovepipe, Tuyau",Road Allowance,"49°40'11""N, 96°38'58""W","The area around Pointe des Chênes or Grande Pointe des Chênes now Ste. Anne de Chênes was purchased by Métis and French settlers in 1852 from Na-sa-kee-by-ness (Flying Down Bird) also known as Grands Oreilles the Chief of the Roseau River Band. This was a preferred location for woodcutting because of the large oak groves along the banks of the Seine River. Father LeFloche, the priest from St. Boniface who ministered to the Métis at this location changed the name to Ste. Anne, a patron saint in Brittany, France. Later there was a road allowance tent community called Tuyau (pipe), Stovepipe, in the Ste. Anne area. This was inhabited by the families of woodcutters working in the forests to the east of the community.",,,
"Summerberry Marsh,",Road Allowance,"53.6600, -100.6471","This area is named after the Summerberry or Moose Lake River and is east of The Pas, Manitoba in the Saskatchewan River drainage basin. Trapping in the area was ruined by the development of the Grand Rapids Dam forebay.
In 2016 the Manitoba Métis Federation has reached an agreement with Manitoba Hydro that provided for the payment of compensation to identified trappers whose commercial trapping on the Summerberry Marsh was impacted by the operation of the Grand Rapids Generating Station.
There were five communities that were the management authority for Summerberry trapping. These communities were Grand Rapids, Easterville, Moose Lake, Cormorant and The Pas. The claims by trappers for the communities of Grand Rapids, Easterville and Moose Lake were settled first. A subsequent agreement will settle the claims for Summerberry trappers in the communities of Cormorant, The Pas and other trappers from across Manitoba who were invited by the management authority to trap on the Summerberry Marsh.
",,,
"The Corner, Li Kwayn",Road Allowance,"50°37'21.59""N, 101°16'34.80""W","The Corner was a Métis road allowance community near Binscarth on the Northeast Quarter of Section 34-19-29. The Métis from Ste. Madeleine were resettled here after there homes and personal possessions were burned and they were displaced from Ste. Madeleine which was located to the west across the Assiniboine River. This community was sarcastically called Fouillard Corner and another road allowance community set up to the south of this was called Selby Town, after the municipal officials responsible for the loss of Ste. Madeleine. With the loss of the Belliveau School the Métis were forced to attend school in Binscarth or the St. Hubert Mission School on Gambler Reserve. With the loss of the Mission of Ste. Madeleine Church many of the Métis began attending services at the home of Joe Bushie (Boucher), he donated four acres of land where they built St. Hubert Church, using what they could of logs from the Ste. Madeleine Church. A 1958 census documented 170 Métis living in the Binscarth area.
The families who were moved onto the Northeast Quarter of Section 34-19-29 were: Ambroise Fisher, Jimmie Ledoux, the Morrissettes, John (Jean) Fleury, Jack Boucher, George Boucher, Joe Venne, Pete Ducharme, William Smith, the Pelletiers, Louis Fleury, Mrs. Joe Bercier, and Nap Vermette.",,,
Thomas Métis Settlement,Road Allowance,"53.82° N, 101.25° W",This was a Métis road allowance community located outside of The Pas. It was named after the Thomas family.,,,
Tin Town,Road Allowance,"49.82° N, 97.15° W",This was a Métis road allowance community located to the south of Rooster Town. Tin Town was south of Fort Rouge near today’s McGillivray Boulevard which runs west off Pembina Highway. It was named for the metal used by the squatters to build their shanties. It was reported that baseball games were held between the residents of Rooster Town and Tin Town.,,,
Umphreville,Road Allowance,"53.84° N, 101.19° W","This was a Métis road allowance community on the north bank of the Saskatchewan River northeast of The Pas. It was named after John Umphreville (1820-1883), the son of “Great” Thomas Umpherville, grandfather of all the Umphervilles from Moose Lake to Prince Albert. Thomas was married to Hannah Turner, both were Métis. John Umphreville married Mary Brass (1821-1904) also Métis. A 1958 census documented 35 Métis living in this community.",,,
Wabowden,Traditional Settlement,"54.91° N, 98.61° W","Situated near the geographic centre of the province, first located at Setting Lake. With the arrival of the railway in the 1920s, the community relocated to Bowden Lake. The Métis culture is dominant. Many families originated from Cross Lake. Commercial fishing continues to be a major source of employment.",,,
Wheat City,Traditional Settlement,"49.85° N, 97.31° W","Wheat City was a Métis community in St. Charles, now Charleswood, located close to the present day Perimeter Highway bridge; it had existed there since the 1820s, located next to a buffalo crossing. Many Métis families lived here, and they worked for the surrounding farmers, especially during harvest.",,,
Young Point Settlement,Road Allowance,"53.75° N, 101.35° W",This was a Métis road allowance community located nine kilometres just south of the Pas in the Pasquia Settlement. It was named after Josiah Young (Métis). A 1958 census documented 42 Métis living at Young's Point.,,,